Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Price_per_sqm,District_encoded,Month,Frontage_1,Frontage_0
29.0,160.0,4.0,4.0,quan-2,3.0,0.0,0.18,1,9,0,0
7.49,75.0,5.0,4.0,quan-2,4.0,1.0,0.1,1,9,0,0
59.5,240.0,5.0,5.0,quan-2,3.0,0.0,0.25,1,8,0,0
17.0,88.0,5.0,5.0,quan-2,4.0,1.0,0.19,1,7,1,0
17.0,90.0,5.0,5.0,quan-2,4.0,1.0,0.19,1,7,0,0
17.0,90.0,5.0,5.0,quan-2,4.0,1.0,0.19,1,7,0,0
5.0,40.0,4.0,4.0,quan-2,4.0,0.0,0.12,1,6,0,0
18.0,80.0,6.0,6.0,quan-2,4.0,1.0,0.22,1,6,1,0
5.0,78.0,2.0,2.0,quan-2,2.0,0.0,0.06,1,5,0,0
3.0,65.0,4.0,5.0,quan-2,4.0,1.0,0.05,1,5,1,0
1.5,35.0,2.0,2.0,quan-2,2.0,0.0,0.04,1,5,0,0
10.95,90.0,5.0,4.0,quan-2,5.0,1.0,0.12,1,5,0,0
9.0,80.0,4.0,5.0,quan-2,3.0,1.0,0.11,1,5,0,0
7.6,58.5,4.0,4.0,quan-2,3.0,1.0,0.13,1,4,0,1
17.0,90.0,6.0,5.0,quan-2,4.0,0.0,0.19,1,4,1,0
17.0,90.0,5.0,5.0,quan-2,4.0,1.0,0.19,1,4,0,0
29.0,100.0,6.0,6.0,quan-2,5.0,1.0,0.29,1,4,1,0
15.0,56.0,6.0,7.0,quan-2,5.0,1.0,0.27,1,3,1,0
3.4,56.0,2.0,2.0,quan-2,3.0,1.0,0.06,1,3,0,1
6.5,52.0,4.0,4.0,quan-2,4.0,1.0,0.12,1,3,0,1
11.3,91.0,4.0,2.0,quan-2,2.0,1.0,0.12,1,3,1,0
10.2,80.0,3.0,4.0,quan-2,3.0,1.0,0.13,1,2,1,0
8.0,80.0,3.0,4.0,quan-2,3.0,1.0,0.1,1,1,1,0
35.0,222.0,6.0,5.0,quan-2,3.0,1.0,0.16,1,1,1,0
21.0,117.0,3.0,3.0,quan-3,4.0,0.0,0.18,2,11,0,1
30.8,132.0,10.0,10.0,quan-3,8.0,0.0,0.23,2,11,1,0
